RSSI,PDR,Scenario
-48.38,0.999999895,2
-49.14,0.999999465,2
-49.92,0.999997415,2
-50.69,0.999988835,2
-51.46,0.999958016,2
-52.2,0.999858443,2
-52.93,0.999585738,2
-53.62,0.998900546,2
-54.31,0.997421527,2
-54.98,0.994386385,2
-55.62,0.988580487,2
-56.24,0.978380934,2
-56.84,0.961995734,2
-57.42,0.937005912,2
-57.98,0.901133506,2
-58.53,0.852581908,2
-59.0,0.790570729,2
-59.45,0.722077908,2
-59.88,0.64867906,2
-60.27,0.568692586,2
-60.59,0.489269509,2
-60.83,0.424234944,2
-60.95,0.375721604,2
-61.03,0.351823595,2
-61.08,0.338047206,2
-61.15,0.326353174,2
-61.22,0.312860043,2
-61.28,0.299545818,2
-61.35,0.288289592,2
-61.43,0.275354648,2
-61.51,0.260852543,2
-61.59,0.246672699,2
-61.64,0.234547435,2
-61.7,0.224375222,2
-61.74,0.214415727,2
-61.77,0.20789812,2
-61.8,0.203075554,2
-61.81,0.199892256,2
-61.81,0.196734647,2
-61.81,0.196734647,2
-61.81,0.196734647,2
-61.82,0.196734647,2
-61.82,0.195165552,2
-61.83,0.195165552,2
-61.85,0.193602969,2
-61.87,0.192046928,2
-61.92,0.187418339,2
-61.97,0.18134015,2
-62.05,0.172426041,2
-62.14,0.160927529,2
-62.24,0.148531767,2
-62.33,0.135442397,2
-62.42,0.124285704,2
-62.5,0.114868302,2
-62.56,0.105921885,2
-62.63,0.098479048,2
-62.69,0.091393525,2
-62.75,0.085602105,2
-62.81,0.080068021,2
-62.86,0.075650495,2
-62.9,0.071407202,2
-62.95,0.067335705,2
-62.99,0.063433339,2
-63.04,0.060431289,2
-63.07,0.05753407,2
-63.11,0.054740031,2
-63.14,0.05204745,2
-63.17,0.050093519,2
-63.2,0.04819487,2
-63.23,0.046350704,2
-63.26,0.044560202,2
-63.29,0.042822531,2
-63.31,0.041136842,2
-63.33,0.040041501,2
-63.36,0.03896862,2
-63.38,0.037400837,2
-63.4,0.036382956,2
-63.42,0.035386608,2
-63.44,0.034411524,2
-63.46,0.033457435,2
-63.48,0.032524068,2
-63.49,0.032065069,2
-63.51,0.031162271,2
-63.52,0.030279507,2
-63.54,0.029845552,2
-63.55,0.029416502,2
-63.56,0.028572977,2
-63.57,0.028158432,2
-63.58,0.027748654,2
-63.59,0.027343606,2
-63.61,0.026943254,2
-63.61,0.026547563,2
-63.62,0.026156498,2
-63.63,0.025770024,2
-63.64,0.025388106,2
-63.65,0.025010708,2
-63.66,0.024637797,2
-63.67,0.024269337,2
-63.68,0.023905292,2
-63.69,0.023545629,2
-63.69,0.023190311,2
-63.7,0.023190311,2
-63.71,0.022839305,2
-63.72,0.022492574,2
-63.72,0.022492574,2
-63.72,0.022150085,2
-63.73,0.022150085,2
-63.73,0.021811802,2
-63.74,0.021811802,2
-63.74,0.021811802,2
-63.75,0.02147769,2
-63.75,0.02147769,2
-63.75,0.021147715,2
-63.76,0.021147715,2
-63.76,0.020821841,2
-63.76,0.020821841,2
-63.77,0.020821841,2
-63.77,0.020821841,2
-63.77,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020500035,2
-63.78,0.020182261,2
-63.78,0.020182261,2
-63.78,0.020182261,2
-63.79,0.020182261,2
-63.79,0.020182261,2
-63.79,0.020182261,2
-63.79,0.019868484,2
-63.79,0.019868484,2
-63.79,0.019868484,2
-63.79,0.019868484,2
-63.8,0.019868484,2
-63.8,0.019868484,2
-63.8,0.019868484,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019868484,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019868484,2
-63.8,0.019868484,2
-63.8,0.019868484,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
-63.8,0.019558671,2
